"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2014";"397";"16";"7";"3";"423"
"2015";"69";"3";"2";"4";"78"
"2018";"5617";"388";"162";"332";"6499"
"2019";"18497";"501";"388";"891";"20277"
"2020";"7965";"367";"164";"709";"9205"
"2021";"14977";"307";"254";"398";"15936"
"2022";"23360";"228";"219";"996";"24803"
"2023";"18641";"478";"181";"466";"19766"
"2024";"17286";"345";"297";"447";"18375"
"2025";"13701";"491";"412";"722";"15326"
"Total";"120510";"3124";"2086";"4968";"130688"
