"Mes/Ano","Exames"
"FEVEREIRO/2018","33"
"MARCO/2018","249"
"ABRIL/2018","653"
"MAIO/2018","786"
"JUNHO/2018","583"
"JULHO/2018","425"
"AGOSTO/2018","807"
"SETEMBRO/2018","837"
"OUTUBRO/2018","1089"
"NOVEMBRO/2018","900"
"DEZEMBRO/2018","940"
"JANEIRO/2019","850"
"FEVEREIRO/2019","1084"
"MARCO/2019","854"
"ABRIL/2019","1591"
"MAIO/2019","1355"
"JUNHO/2019","1123"
"JULHO/2019","1170"
"AGOSTO/2019","1224"
"SETEMBRO/2019","1041"
"OUTUBRO/2019","1378"
"NOVEMBRO/2019","1061"
"DEZEMBRO/2019","1492"
"JANEIRO/2020","1547"
"FEVEREIRO/2020","1629"
"MARCO/2020","1905"
"ABRIL/2020","1149"
"MAIO/2020","471"
"JUNHO/2020","543"
"JULHO/2020","498"
"AGOSTO/2020","546"
"SETEMBRO/2020","446"
"OUTUBRO/2020","1020"
"NOVEMBRO/2020","1152"
"DEZEMBRO/2020","1502"
"JANEIRO/2021","1060"
"FEVEREIRO/2021","1277"
"MARCO/2021","1401"
"ABRIL/2021","1287"
"MAIO/2021","1339"
"JUNHO/2021","1406"
"JULHO/2021","1268"
"AGOSTO/2021","1303"
"SETEMBRO/2021","1492"
"OUTUBRO/2021","1489"
"NOVEMBRO/2021","1629"
"DEZEMBRO/2021","1042"
"JANEIRO/2022","1369"
"FEVEREIRO/2022","1313"
"MARCO/2022","1029"
"ABRIL/2022","1277"
"MAIO/2022","955"
"JUNHO/2022","906"
"JULHO/2022","944"
"AGOSTO/2022","29"
"SETEMBRO/2022","816"
"OUTUBRO/2022","1206"
"NOVEMBRO/2022","1079"
"DEZEMBRO/2022","800"
"JANEIRO/2023","1345"
"FEVEREIRO/2023","1271"
"MARCO/2023","1276"
"ABRIL/2023","1243"
"MAIO/2023","2538"
"JUNHO/2023","2531"
"JULHO/2023","3295"
"AGOSTO/2023","3380"
"SETEMBRO/2023","3059"
"OUTUBRO/2023","2793"
"NOVEMBRO/2023","2355"
"DEZEMBRO/2023","2217"
"JANEIRO/2024","2418"
"FEVEREIRO/2024","1446"
"MARCO/2024","1670"
"ABRIL/2024","1845"
"MAIO/2024","1578"
"JUNHO/2024","2006"
"JULHO/2024","2611"
"AGOSTO/2024","1898"
"SETEMBRO/2024","1878"
"OUTUBRO/2024","1609"
"NOVEMBRO/2024","1834"
"DEZEMBRO/2024","1716"
"JANEIRO/2025","2099"
"FEVEREIRO/2025","2505"
"MARCO/2025","2140"
"ABRIL/2025","2441"
"MAIO/2025","1687"
"JUNHO/2025","2152"
"JULHO/2025","2254"
"AGOSTO/2025","1680"
"SETEMBRO/2025","1484"
